연번,시설명,주소,비고
1,3대가협동조합예비사회적기업 아산사랑주야돌봄센터,충청남도 아산시 영인면 영인로 14-7,041-545-2335
2,A+행복한방문목욕,충청남도 아산시 충무로 49 405호 (온천동),041-544-4279
3,감사재가복지센터,충청남도 아산시 신창면 온천대로 984 상가동 2층 209호 (아산 코아루 에듀파크 아파트),041-547-3400
4,굿널스방문간호센터,충청남도 아산시 무궁화안길14번길 22-14 (초사동),041-533-6067
5,금빛요양원,충청남도 아산시 고불로 663(좌부동),041-548-0777
6,금빛재가주간보호센터,충청남도 아산시 고불로 663 (좌부동 2층),041-548-0777
7,기쁨재가방문요양센터,충청남도 아산시 온천대로 1105-17 상가동 2층 206호 (득산동),041-546-7890
8,길벗요양원,충청남도 아산시 음봉면 충무로681번길 54-23,041-542-9188
9,나눔케어,충청남도 아산시 청운로84번길 15 2층 (온천동),041-544-4328
10,나이팅게일공동생활가정,충청남도 아산시 권곡로 47 104동 104호 (권곡동),041-543-1977
11,노블레스 실버빌 요양원,충청남도 아산시 배방읍 갈매길 159-23,041-531-6200
12,뉴데이 복지용구,충청남도 아산시 배방읍 모산로 38-11 115동 202호,041-546-1664
13,늘평안재가복지센터,충청남도 아산시 시민로 380 지하 1층 (온천동),041-548-7077
14,다정마을요양원,충청남도 아산시 도고면 온천대로 490-74,041-542-1311
15,도토리재가방문요양센터,충청남도 아산시 배방읍 모산로 22-2 가동 101호,041-541-9191
16,돌봄나래노인재가복지센터,충청남도 아산시 온주길16번길 20 (읍내동),041-542-7100
17,두리재가복지센터,충청남도 아산시 신창면 남성길 99 2층 207호,041-567-0445
18,디딤돌노인복지센터,충청남도 아산시 시민로208번길 21 (용화동 1층 ),041-549-5997
19,메디케어요양원,충청남도 아산시 둔포면 윤보선로336번길 55-1,041-532-3335
20,메리골드요양원,충청남도 아산시 배방읍 갈매길 42-25,041-546-7700
21,무지개동산요양원,충청남도 아산시 신창면 온천대로 1048-6,041-532-6369
22,미소주야간보호센터,충청남도 아산시 온천시문2로 4 1~2층 (온천동),041-545-2306
23,방문요양센터 굿케어,충청남도 아산시 배방읍 모산로 38-11 상가동 310호,041-546-3386
24,배방 효담실버케어스,충청남도 아산시 배방읍 배방로229번길 30-17,041-543-3001
25,배방 효담실버케어스,충청남도 아산시 배방읍 배방로229번길 30-17,041-543-3001
26,배방사랑요양원,충청남도 아산시 배방읍 갈매길 17,041-547-7880
27,배방한가족 노인주간보호센터,충청남도 아산시 배방읍 모산로139번길 16 4층,041-546-0818
28,백합 요양원 2관,충청남도 아산시 둔포면 아산밸리중앙로 79-165~6층,041-533-8670
29,백합시니어빌요양원,충청남도 아산시 영인면 영인로 14-22,041-533-2970
30,보람재가복지센터,충청남도 아산시 문화로 33-10 (실옥동 벽산아파트 상가동 2층 202호),041-427-5605
31,사랑재가 노인복지센터,충청남도 아산시 어의정로31번길 7 1층 102호 (온천동),041-541-3064
32,새순노인주간보호센터,충청남도 아산시 도고면 온천대로 364 (1층),041-547-1324
33,선도 재가복지센터,충청남도 아산시 도고면 아산만로 210,041-549-1230
34,선한사랑 돌봄센터(GOOD LOVE CARE CENTER),충청남도 아산시 중앙로 55 5층 501호 (온천동),041-358-3667
35,성공회은혜 노인복지센터,충청남도 아산시 충무로20번길 20 (온천동),041-543-2731
36,성심요양원,충청남도 아산시 온주길16번길 888-12 (읍내동),041-911-9988
37,성심요양원 병설 주간보호,충청남도 아산시 온주길16번길 888-12 (읍내동),041-911-9988
38,쉴가케어 방문요양센터,충청남도 아산시 온화로 47 1층 (온천동),041-546-2063
39,신정호 요양원,충청남도 아산시 득산로 27 (득산동),041-427-0222
40,신정호주간보호,충청남도 아산시 득산로 27 (득산동),041-427-0222
41,실버스쿨노인복지센터,충청남도 아산시 탕정면 탕정면로 141-1 3층,041-541-9888
42,아산 노블요양원,충청남도 아산시 영인면 상성길50번길 106,041-545-8888
43,아산JPC요양원(소규모요양시설 나형),충청남도 아산시 영인면 영인로 14-21,041-546-2306
44,아산노인복지센터,충청남도 아산시 도고면 도고면로147번길 237 번지,041-544-7775
45,아산늘봄실버케어,충청남도 아산시 음봉면 산동안길 53-1 1층,041-533-1420
46,아산늘봄실버케어주간보호센터,충청남도 아산시 음봉면 산동안길 53-1,041-533-1420
47,아산방문목욕,충청남도 아산시 충무로 49 405호 (온천동),041-549-0010
48,아산설화요양원,충청남도 아산시 송악면 외암로1166번길 31-6,041-534-3313
49,아산설화주간보호센터,충청남도 아산시 송악면 외암로1166번길 31-6,041-534-3313
50,아산실버요양원,충청남도 아산시 송악면 외암로 759,041-545-9881
51,아산실버주간보호센터,충청남도 아산시 무궁화로 11-6 (신인동),041-541-8300
52,아산실버타운,충청남도 아산시 번영로143번길 43 (권곡동),041-531-8507
53,아산재가복지센터,충청남도 아산시 용화로47번길 12-2 샤이니동 2층 201호 (온천동),041-531-7877
54,아산전문요양원,충청남도 아산시 배방읍 휴대세교길 101,041-548-9854
55,아산충무노인주간보호센터,충청남도 아산시 시민로 294 4층 402호 (용화동 광염빌딩),041-532-3600
56,아산충무노인주간보호센터(실옥점),충청남도 아산시 실옥로 74 (실옥동),041-545-3602
57,아산효요양원,충청남도 아산시 시민로329번길 82 (용화동),041-533-6600
58,안서효 요양원,충청남도 아산시 배방읍 호서로 258,041-542-3200
59,에버그린요양원,충청남도 아산시 배방읍 호서로 240,041-548-2880
60,엘림재가복지센터,충청남도 아산시 둔포면 둔포중앙로171번길 97 3층 302호,041-531-9767
61,연세요양원,충청남도 아산시 음봉면 월암로201번길 28-12,041-533-7110
62,예정요양원,충청남도 아산시 음봉면 충무로681번길 54-25,041-542-9288
63,예정주간보호센터,충청남도 아산시 음봉면 충무로681번길 54-25,041-542-9288
64,온미소재가복지센터,충청남도 아산시 배방읍 배방로14번길 89-3 1층,041-549-4119
65,온양노인복지센터,충청남도 아산시 모종로 110 (모종동),041-543-4411
66,온양요양원,충청남도 아산시 온천대로 1436-18 (온천동),041-534-6999
67,온양정애요양원,충청남도 아산시 청운로112번길 23-5 (온천동),041-532-9053
68,온양정애요양원 병설 정애노인복지센터,충청남도 아산시 청운로112번길 23-5 (온천동),041-544-0818
69,온양정애원,충청남도 아산시 청운로112번길23-5(온천동),041-545-2440
70,요셉재가노인복지센터,충청남도 아산시 염치읍 방현동길 92-91,041-547-3427
71,요엘재가복지센터,충청남도 아산시 번영로 228 402호 (모종동),041-542-0307
72,용샘요양원,충청남도 아산시 시민로234번길 8-14 (용화동),041-532-5703
73,우리동네 나이팅게일 재가복지센터,충청남도 아산시 온천대로 1526 2층 201호 (온천동),041-427-6599
74,우리재가복지센터,충청남도 아산시 방축로 23 3호 (방축동),041-548-6668
75,우리집주간보호센터,충청남도 아산시 시민로 225-9 (용화동),041-545-4670
76,이화노인전문요양센터,충청남도 아산시 방축로42번길 12 (방축동),041-533-1234
77,인주농협요양원,충청남도 아산시 인주면 영인산로 260-14,041-543-3711
78,인주방문요양센터,충청남도 아산시 인주면 걸매길 209-11,041-534-2033
79,자리끼요양원,충청남도 아산시 탕정면 삼성로 244-6,041-541-2270
80,정 재가복지센터,충청남도 아산시 신창면 서부북로 813 1층 101호 (아산 한미 금강 아파트 상가동),041-541-3682
81,즐거운재가복지센터,충청남도 아산시 아산로 78 (온천동 3층 301-1호),041-542-9630
82,찾아가는 돌봄센터,충청남도 아산시 온화로65번길 17 1층 102호 (온천동),041-547-1533
83,청솔노인전문요양원,충청남도 아산시 배방읍 고불로 70,041-541-5676
84,큰사랑요양원,충청남도 아산시 염치읍 송곡길 194-18,041-545-5938
85,하얀민들레,충청남도 아산시 신창면 서부남로 820-15,041-532-5222
86,한빛방문요양센터,충청남도 아산시 번영로 33 102호 (실옥동),041-545-3532
87,한울재가복지센터,충청남도 아산시 배방읍 북수로111번길 6-4,041-546-2033
88,한울타리노인복지센터,충청남도 아산시 남산로 10 (온천동),041-544-1407
89,함께해요 노인전문요양원,충청남도 아산시 염치읍 방현서길36번길 11-7,041-425-2338
90,함께해요주야간보호센터,충청남도 아산시 염치읍 방현서길36번길 11-5,041-425-2338
91,해바라기방문요양센터,충청남도 아산시 고불로 669 316호 (좌부동 초원설화타운(2단지) 상가동),041-549-2333
92,해바라기재가돌봄센터,충청남도 아산시 어의정로 46 (용화동 온천마을아파트 118동 B04호),041-545-9112
93,행복노인복지센터,충청남도 아산시 둔포면 충무로 1299,041-544-6691
94,행복노인복지센터,충청남도 아산시 둔포면 충무로 1299,041-544-6691
95,행복드림 재가노인복지센터,충청남도 아산시 배방읍 모산로 103 8층,041-549-8293
96,행복한요양원,충청남도 아산시 신창면 행목로192번길 18,041-532-4567
97,행복한요양원,충청남도 아산시 신창면 행목로192번길 18,041-532-4567
98,효명노인전문요양원,충청남도 아산시 도고면 덕암산로 106-48,041-534-0076
99,희망나눔재가복지센터,충청남도 아산시 신창면 서부북로 628 (1층),041-542-2004
